"Quick Order","Quick Order"
"Aheadworks Extensions","Aheadworks Extensions"
"General","General"
"Enable Quick Order","Enable Quick Order"
"Enable Quick Order for Customer Group","Enable Quick Order for Customer Group"
"All Groups","All Groups"
"Product Name","Product Name"
"SKU","SKU"
"Quantity","Quantity"
"Enter Individual SKU","Enter Individual SKU"
"Enter Multiple SKUs","Enter Multiple SKUs"
"Import SKUs","Import SKUs"
"Enter Individual SKU or Product Name","Enter Individual SKU or Product Name"
"Qty","Qty"
"Add to List","Add to List"
"Add to Cart","Add to Cart"
"Product SKU is required","Product SKU is required"
"SKU: %1","SKU: %1"
"A total of %1 product(s) have been added to your shopping cart.","A total of %1 product(s) have been added to your shopping cart."
"The product is not available","The product is not available"
"The product has been added to cart","The product has been added to cart"
"The product has been updated","The product has been updated"
"The product has been removed","The product has been removed"
"The product has been added to the list","The product has been added to the list"
"Configure %1","Configure %1"
"The list has been reset","The list has been reset"
"Something went wrong while resetting the list","Something went wrong while resetting the list"
"All items have been removed from the list","All items have been removed from the list"
"Each SKU must be on a new line","Each SKU must be on a new line"
"%1 item(s) are added to the list","%1 item(s) are added to the list"
"SKUs are not found. Please, check entered data","SKUs are not found. Please, check entered data"
"Import Multiple SKUs from File","Import Multiple SKUs from File"
"File must be in .csv format and include ""SKU"" and ""QTY"" columns","File must be in .csv format and include ""SKU"" and ""QTY"" columns"
"Select file","Select file"
"Action","Action"
